2014-Apr-10_16-01-55,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_17-55-07,17-55-07.1,12.381,14.771,0,0,-0.001,0,0,0,0,0,0,12.41,21.324,0,0,0,0,0.003,12.41,24.578,0,0,0,0,-0.003,12.48,19.793,0,0,0,0,0.003,12.621,19.984,0,-1,-12.727,4.277,12.691,24.195,0,1,0,0,0,0,1,559.878,-21.426,-0.002,109.631,0,0,712,0.1,0.074,1,
2014-Apr-10_17-55-07,17-55-07.2,12.675,2.288,0,0,-0.001,0,0,0,0,0,0,12.586,21.516,0,0,0,0,0,12.48,24.578,0,-0.08,-1.004,1.781,0,12.551,19.984,0,0.08,1.008,3.355,0,12.586,20.176,0,0,0,0,12.832,24.195,1,1,0,0,0,1,1,559.878,-21.496,-0.002,109.403,0,0,713,0.1,0.214,1,
2014-Apr-10_17-55-07,17-55-07.3,12.58,5.593,0,0,-0.001,0,0,-0.2,-2.484,4.801,-0.003,12.41,21.707,0,0.22,2.672,6.375,0.003,12.164,24.195,0,-0.22,-2.73,5.852,-0.006,12.375,19.41,0,0.22,2.742,5.719,-0.003,12.445,19.793,0,0,0,0,12.727,24.004,1,1,0,0,0,1,1,559.878,-21.59,-0.002,109.517,0,0,714,0.1,0.355,1,
2014-Apr-10_17-55-07,17-55-07.4,12.58,5.593,0,0,-0.001,0,0,-0.2,-2.484,4.801,-0.003,12.41,21.707,0,0.22,2.672,6.375,0.003,12.164,24.195,0,-0.22,-2.73,5.852,-0.006,12.375,19.41,0,0.22,2.742,5.719,-0.003,12.445,19.793,0,0,0,0,12.727,24.004,1,1,0,0,0,1,1,559.878,-21.59,-0.002,109.517,0,0,714,0.1,0.355,1,
2014-Apr-10_17-55-07,17-55-07.5,12.33,16.24,0,0,-0.001,0,0,-0.34,-4.09,9.527,0.075,12.023,21.324,0,0.36,4.227,11.367,-0.082,11.742,24.004,0,-0.36,-4.344,10.055,0.088,12.094,19.41,0,0.36,4.363,9.527,-0.094,12.094,19.793,0,0,0,0,12.445,24.195,1,1,0,0,0,1,1,557.78,-21.669,-0.002,109.403,0,0,715,0.1,0.495,1,
2014-Apr-10_17-55-07,17-55-07.6,12.157,23.583,0,0,-0.001,0,0,-0.48,-5.656,10.84,0.245,11.777,21.516,0,0.5,5.711,12.68,-0.261,11.496,24.77,0,-0.5,-5.906,10.184,0.264,11.848,19.984,0,0.5,6.129,11.891,-0.27,11.777,19.984,0,0,0,0,12.234,23.813,1,1,0,0,0,1,1,556.73,-21.438,0.008,109.517,0,0,716,0.1,0.636,1,
2014-Apr-10_17-55-07,17-55-07.7,11.967,32.762,0,0,-0.001,0,0,-0.62,-7.238,13.074,0.525,11.707,21.898,0,0.64,7.242,12.152,-0.553,11.355,24.004,0,-0.64,-7.539,10.316,0.55,11.777,19.984,0,0.64,7.578,9.266,-0.566,11.813,20.367,0,0,0,0,12.129,24.77,1,1,0,0,0,1,1,553.583,-21.844,-0.002,109.517,0,0,717,0.1,0.775,1,
2014-Apr-10_17-55-07,17-55-07.8,11.967,32.762,0,0,-0.001,0,0,-0.62,-7.238,13.074,0.525,11.707,21.898,0,0.64,7.242,12.152,-0.553,11.355,24.004,0,-0.64,-7.539,10.316,0.55,11.777,19.984,0,0.64,7.578,9.266,-0.566,11.813,20.367,0,0,0,0,12.129,24.77,1,1,0,0,0,1,1,553.583,-21.844,-0.002,109.517,0,0,717,0.1,0.775,1,
2014-Apr-10_17-55-08,17-55-08.0,11.82,35.332,0,0,-0.001,0,0,-0.76,-8.793,11.367,0.911,11.566,21.133,0,0.78,8.773,11.762,-0.949,11.215,24.004,0,-0.78,-8.996,9.66,0.955,11.602,19.793,0,0.78,9.102,10.055,-0.968,11.637,20.559,0,0,0,0,11.988,23.813,1,1,0,0,0,1,1,535.747,-21.396,0.003,109.517,0,0,718,0.1,0.915,1,
2014-Apr-10_17-55-08,17-55-08.1,11.682,40.839,0,0,-0.001,0,0,-0.9,-10.348,9.398,1.417,11.566,21.516,0,0.92,10.25,11.496,-1.455,11.074,24.578,0,-0.92,-10.609,10.055,1.461,11.461,20.176,0,0.92,10.637,10.184,-1.477,11.531,19.984,0,0,0,0,11.848,24.195,1,1,0,0,0,1,1,527.353,-21.373,0.008,109.403,0,0,719,0.1,1.055,1,
