2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_15-19-02,15-19-02.3,12.563,2.288,-0.001,0.001,0,0,0,0,0,0,0,12.48,22.281,0,0,0,0,-0.657,12.094,25.535,0,0,0,0,0.71,12.234,20.559,0,0,0,0,0.122,12.41,20.75,0,-1,-12.48,7.559,12.48,24.77,0,1,0,0,0,0,1,557.78,6.521,-0.002,109.631,0,0,811,0.1,0.051,1,
2014-Apr-10_15-19-02,15-19-02.4,12.537,2.656,-0.001,0.001,0,0,0,0,0,0,-0.069,12.445,22.473,0,0,0,0,-0.66,12.445,25.152,0,0,0,0,0.71,12.48,20.176,0,0,0,0,0.119,12.586,21.324,0,0,0,0,12.727,24.578,1,1,0,0,0,1,1,556.73,6.438,-0.002,109.517,0,0,812,0.1,0.193,1,
2014-Apr-10_15-19-02,15-19-02.6,12.442,6.694,-0.001,0.001,0,0,0,-0.18,-2.211,4.277,-0.072,12.305,22.281,0,0.2,2.395,8.348,-0.66,11.988,24.961,0,-0.2,-2.461,4.934,0.707,12.305,20.559,0,0.2,2.473,5.852,0.107,12.305,21.516,0,0,0,0,12.586,24.77,1,1,0,0,0,1,1,559.878,6.271,-0.002,109.631,0,0,813,0.1,0.335,1,
2014-Apr-10_15-19-02,15-19-02.7,12.243,14.404,-0.001,0.001,0,0,0,-0.32,-3.828,7.82,-0.003,11.988,22.281,0,0.34,3.988,10.578,-0.707,11.707,25.152,0,-0.34,-4.066,9.922,0.786,11.918,20.559,0,0.34,4.086,10.711,0.047,11.988,21.133,0,0,0,0,12.375,24.77,1,1,0,0,0,1,1,556.73,6.092,0.003,109.403,0,0,814,0.1,0.475,1,
2014-Apr-10_15-19-02,15-19-02.8,12.045,19.177,-0.001,0.001,0,0,0,-0.46,-5.434,8.348,0.135,11.777,22.09,0,0.48,5.516,11.234,-0.855,11.496,25.152,0,-0.48,-5.586,12.023,0.927,11.707,20.176,0,0.5,5.887,11.367,-0.107,11.707,20.75,0,0,0,0,12.129,24.578,1,1,0,0,0,1,1,553.583,5.894,-0.002,109.517,0,0,815,0.1,0.617,1,
2014-Apr-10_15-19-02,15-19-02.9,12.045,19.177,-0.001,0.001,0,0,0,-0.46,-5.434,8.348,0.135,11.777,22.09,0,0.48,5.516,11.234,-0.855,11.496,25.152,0,-0.48,-5.586,12.023,0.927,11.707,20.176,0,0.5,5.887,11.367,-0.107,11.707,20.75,0,0,0,0,12.129,24.578,1,1,0,0,0,1,1,553.583,5.894,-0.002,109.517,0,0,815,0.1,0.617,1,
2014-Apr-10_15-19-03,15-19-03.0,11.829,29.09,-0.001,0.001,0,0,0,-0.6,-6.984,8.609,0.374,11.566,21.898,0,0.6,6.77,11.105,-1.103,11.285,24.77,0,-0.62,-7.172,10.973,1.175,11.602,19.984,0,0.64,7.422,10.055,-0.368,11.531,21.324,0,0,0,0,12.023,25.152,1,1,0,0,0,1,1,548.337,5.268,0.008,109.403,0,0,816,0.1,0.757,1,
2014-Apr-10_15-19-03,15-19-03.1,11.673,33.863,-0.001,0.001,0,0,0,-0.74,-8.508,8.871,0.726,11.426,22.473,0,0.76,8.441,12.68,-1.455,11.074,24.961,0,-0.76,-8.633,10.578,1.524,11.426,20.559,0,0.78,8.91,9.922,-0.742,11.496,20.75,0,0,0,0,11.813,24.77,1,1,0,0,0,1,1,537.845,4.62,0.008,109.631,0,0,817,0.1,0.897,1,
2014-Apr-10_15-19-03,15-19-03.2,11.673,33.863,-0.001,0.001,0,0,0,-0.74,-8.508,8.871,0.726,11.426,22.473,0,0.76,8.441,12.68,-1.455,11.074,24.961,0,-0.76,-8.633,10.578,1.524,11.426,20.559,0,0.78,8.91,9.922,-0.742,11.496,20.75,0,0,0,0,11.813,24.77,1,1,0,0,0,1,1,537.845,4.62,0.008,109.631,0,0,817,0.1,0.897,1,
2014-Apr-10_15-19-03,15-19-03.3,11.492,41.94,-0.001,0.001,0,0,0,-0.88,-9.992,9.133,1.175,11.32,21.707,0,0.9,9.902,10.84,-1.917,10.934,24.961,0,-0.9,-10.125,10.055,1.983,11.32,20.75,0,0.92,10.477,9.789,-1.222,11.32,20.941,0,0,0,0,11.742,24.578,1,1,0,0,0,1,1,530.501,4.075,0.008,109.631,0,0,818,0.1,1.043,1,
