2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_09-48-41,09-48-41.8,12.571,1.554,0,0.001,0,0,0,0,0,0,0,12.48,21.707,0,0,0,0,0,12.445,24.77,0,0,0,0,0,12.516,20.176,0,0,0,0,0,12.621,20.559,0,0,0,0,12.762,24.578,0,1,0,0,0,0,0,1697.199,14.671,-0.002,23.149,0,0,705,0.1,10.005,1,
2014-Apr-10_09-48-42,09-48-42.0,12.304,9.998,0,0.001,0,0,0,0,0,0,1.983,12.234,21.516,0,0,0,0,-1.323,12.234,24.77,0,0,0,0,1.983,12.305,20.367,0,0,0,0,-1.439,12.41,20.941,0,0,0,0,12.516,24.195,0,1,0,0,0,1,0,1691.85,14.626,-0.002,23.149,0,0,706,0.1,10.144,1,
2014-Apr-10_09-48-42,09-48-42.1,12.304,9.998,0,0.001,0,0,0,0,0,0,1.983,12.234,21.516,0,0,0,0,-1.323,12.234,24.77,0,0,0,0,1.983,12.305,20.367,0,0,0,0,-1.439,12.41,20.941,0,0,0,0,12.516,24.195,0,1,0,0,0,1,0,1691.85,14.626,-0.002,23.149,0,0,706,0.1,10.144,1,
2014-Apr-10_09-48-42,09-48-42.2,12.33,8.53,0,0.001,0,0,0,0,0,0,1.983,12.234,21.707,0,0,0,0,-1.323,12.234,25.152,0,0,0,0,1.983,12.234,19.984,0,0,0,0,-1.439,12.375,20.367,0,0,0,0,12.48,24.195,0,1,0,0,0,1,0,1689.176,14.574,-0.002,23.834,0,0,707,0.1,10.285,1,
2014-Apr-10_09-48-42,09-48-42.3,12.312,8.163,0,0.001,0,0,0,0,0,0,1.983,12.199,21.898,0,0,0,0,-1.323,12.234,24.387,0,0,0,0,1.983,12.234,19.793,0,0,0,0,-1.439,12.375,20.559,0,0,0,0,12.48,24.578,0,1,0,0,0,1,0,1694.524,14.502,0.003,23.606,0,0,708,0.1,10.425,1,
2014-Apr-10_09-48-42,09-48-42.4,12.304,9.264,0,0.001,0,0,0,0,0,0,1.983,12.199,22.09,0,0,0,0,-1.323,12.199,24.578,0,0,0,0,1.983,12.234,19.793,0,0,0,0,-1.439,12.375,20.559,0,0,0,0,12.48,24.195,0,1,0,0,0,1,0,1694.524,14.456,-0.002,24.862,0,0,709,0.1,10.564,1,
2014-Apr-10_09-48-42,09-48-42.5,12.278,7.796,0,0.001,0,0,0,0,0,0,1.983,12.199,21.516,0,0,0,0,-1.323,12.164,24.961,0,0,0,0,1.983,12.234,20.176,0,0,0,0,-1.439,12.375,20.559,0,0,0,0,12.516,24.578,0,1,0,0,0,1,0,1697.199,14.442,0.003,24.634,0,0,710,0.1,10.704,1,
2014-Apr-10_09-48-42,09-48-42.6,12.278,7.796,0,0.001,0,0,0,0,0,0,1.983,12.199,21.516,0,0,0,0,-1.323,12.164,24.961,0,0,0,0,1.983,12.234,20.176,0,0,0,0,-1.439,12.375,20.559,0,0,0,0,12.516,24.578,0,1,0,0,0,1,0,1697.199,14.442,0.003,24.634,0,0,710,0.1,10.704,1,
2014-Apr-10_09-48-42,09-48-42.7,12.261,8.53,0,0.001,0,0,0,0,0,0,1.983,12.199,21.898,0,0,0,0,-1.323,12.164,24.961,0,0,0,0,1.983,12.199,19.793,0,0,0,0,-1.439,12.34,20.559,0,0,0,0,12.48,24.195,0,1,0,0,0,1,0,1697.199,14.437,0.008,25.662,0,0,711,0.1,10.84,1,
2014-Apr-10_09-48-42,09-48-42.8,12.261,9.264,0,0.001,0,0,0,0,0,0,1.983,12.199,21.898,0,0,0,0,-1.323,12.199,24.77,0,0,0,0,1.983,12.234,19.984,0,0,0,0,-1.439,12.34,20.559,0,0,0,0,12.445,24.77,0,1,0,0,0,1,0,1694.524,14.425,-0.002,25.662,0,0,712,0.1,10.984,1,
2014-Apr-10_09-48-42,09-48-42.9,12.278,9.631,0,0,-0.033,0,0,0,0,0,1.983,12.164,21.898,0,0,0,0,-1.323,12.164,24.961,0,0,0,0,1.983,12.199,19.984,0,0,0,0,-1.439,12.375,20.75,0,0,0,0,12.445,24.578,0,1,0,0,0,1,0,1694.524,14.417,-0.002,25.662,0,0,713,0.1,11.125,1,
2014-Apr-10_09-48-43,09-48-43.1,12.278,9.631,0,0,-0.033,0,0,0,0,0,1.983,12.164,21.898,0,0,0,0,-1.323,12.164,24.961,0,0,0,0,1.983,12.199,19.984,0,0,0,0,-1.439,12.375,20.75,0,0,0,0,12.445,24.578,0,1,0,0,0,1,0,1694.524,14.417,-0.002,25.662,0,0,713,0.1,11.125,1,
2014-Apr-10_09-48-43,09-48-43.2,12.261,8.163,0,0,0,0,0,0,0,0,1.983,12.164,22.281,0,0,0,0,-1.323,12.164,25.344,0,0,0,0,1.983,12.164,19.41,0,0,0,0,-1.439,12.27,20.367,0,0,0,0,12.48,24.961,0,1,0,0,0,1,0,1691.85,14.346,0.008,26.805,0,0,714,0.1,11.263,1,
2014-Apr-10_09-48-43,09-48-43.3,12.226,9.264,0,0.002,0,0,0,0,0,0,1.983,12.199,21.898,0,0,0,0,-1.323,12.129,24.961,0,0,0,0,1.983,12.199,19.41,0,0,0,0,-1.439,12.305,20.941,0,0,0,0,12.48,24.004,0,1,0,0,0,1,0,1694.524,14.335,0.003,30.46,0,0,715,0.1,11.404,1,
2014-Apr-10_09-48-43,09-48-43.4,12.252,10.366,0,0.001,0,0,0,0,0,0,1.983,12.164,21.898,0,0,0,0,-1.323,12.164,25.344,0,0,0,0,1.983,12.199,20.176,0,0,0,0,-1.439,12.27,20.367,0,0,0,0,12.41,24.578,0,1,0,0,0,1,0,1694.524,14.328,0.003,27.262,0,0,716,0.1,11.545,1,
