,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_10-51-07,10-51-07.4,12.217,8.53,0,0,0,0,0,0,0,0,0,12.129,24.195,0,0,0,0,0,12.094,27.066,0,0,0,0,0,12.129,22.664,0,0,0,0,0,12.234,23.238,0,0,0,0,12.41,26.301,1,1,0,0,0,1,0,60.535,-4.862,0.003,22.92,0,0,364,0.1,10.199,1,
2014-Apr-10_10-51-07,10-51-07.5,12.209,7.428,0,0,0,0,0,0,0,0,0,12.129,24.195,0,0,0,0,0,12.129,27.449,0,0,0,0,0,12.129,22.473,0,0,0,0,0,12.27,23.047,0,0,0,0,12.375,25.918,1,1,0,0,0,1,0,57.861,-4.932,-0.002,23.606,0,0,365,0.1,10.339,1,
2014-Apr-10_10-51-07,10-51-07.6,12.183,7.428,0,0,0,0,0,0,0,0,0,12.094,24.195,0,0,0,0,0,12.094,27.066,0,0,0,0,0,12.129,22.855,0,0,0,0,0,12.27,22.855,0,0,0,0,12.375,25.727,1,1,0,0,0,1,0,60.535,-4.947,-0.002,23.263,0,0,366,0.1,10.478,1,
2014-Apr-10_10-51-07,10-51-07.8,12.183,7.428,0,0,0,0,0,0,0,0,0,12.094,24.195,0,0,0,0,0,12.094,27.066,0,0,0,0,0,12.129,22.855,0,0,0,0,0,12.27,22.855,0,0,0,0,12.375,25.727,1,1,0,0,0,1,0,60.535,-4.947,-0.002,23.263,0,0,366,0.1,10.478,1,
2014-Apr-10_10-51-07,10-51-07.9,12.174,9.631,0,0,0,0,0,0,0,0,0,12.129,24.387,0,0,0,0,0,12.023,27.449,0,0,0,0,0,12.164,22.281,0,0,0,0,0,12.234,23.047,0,0,0,0,12.375,26.109,1,1,0,0,0,1,0,57.861,-5.042,0.003,23.606,0,0,367,0.1,10.616,1,
2014-Apr-10_10-51-08,10-51-08.0,12.191,9.264,0,0,0,0,0,0,0,0,0,12.094,24.195,0,0,0,0,0,12.094,27.258,0,0,0,0,0,12.129,22.473,0,0,0,0,0,12.234,23.43,0,0,0,0,12.375,25.918,1,1,0,0,0,1,0,57.861,-5.042,-0.002,22.806,0,0,368,0.1,10.755,1,
2014-Apr-10_10-51-08,10-51-08.1,12.191,7.428,0,0,0,0,0,0,0,0,0,12.094,24.004,0,0,0,0,0,12.094,27.258,0,0,0,0,0,12.094,22.664,0,0,0,0,0,12.27,23.047,0,0,0,0,12.375,25.152,1,1,0,0,0,1,0,60.535,-5.039,0.008,23.606,0,0,369,0.1,10.893,1,
2014-Apr-10_10-51-08,10-51-08.2,12.191,7.428,0,0,0,0,0,0,0,0,0,12.094,24.004,0,0,0,0,0,12.094,27.258,0,0,0,0,0,12.094,22.664,0,0,0,0,0,12.27,23.047,0,0,0,0,12.375,25.152,1,1,0,0,0,1,0,60.535,-5.039,0.008,23.606,0,0,369,0.1,10.893,1,
2014-Apr-10_10-51-08,10-51-08.3,12.157,9.631,0,0,0,0,0,0,0,0,0,12.129,23.621,0,0,0,0,0,12.059,27.449,0,0,0,0,0,12.129,22.281,0,0,0,0,0,12.234,23.047,0,0,0,0,12.375,25.535,1,1,0,0,0,1,0,1758.707,-5.047,-0.002,22.578,0,0,370,0.1,11.033,1,
2014-Apr-10_10-51-08,10-51-08.4,12.157,8.897,0,0,0,0,0,0,0,0,0,12.129,23.813,0,0,0,0,0,12.059,27.449,0,0,0,0,0,12.164,22.281,0,0,0,0,0,12.199,22.664,0,0,0,0,12.375,25.535,1,1,0,0,0,1,0,68.558,-5.028,-0.002,23.377,0,0,371,0.1,11.172,1,
