2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_14-33-21,14-33-21.5,12.554,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.559,0,0,0,0,0.129,12.445,23.43,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.41,0,0,0,0,12.762,23.047,0,1,0,0,0,1,1,184.273,-37.736,-0.002,109.631,0,0,1034,0.1,75.535,1,
2014-Apr-10_14-33-21,14-33-21.8,12.571,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.367,0,0,0,0,0.129,12.48,24.195,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.797,23.43,0,1,0,0,0,1,1,267.158,-38.189,-0.002,109.517,0,0,1041,0.1,76.504,1,
2014-Apr-10_14-33-21,14-33-21.9,12.58,1.554,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.621,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.41,0,0,0,0,12.797,23.43,0,1,0,0,0,1,1,590.304,-38.209,0.003,109.631,0,0,1042,0.1,76.644,1,
2014-Apr-10_14-33-22,14-33-22.0,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.941,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,18.645,0,0,0,0,0.173,12.621,19.219,0,0,0,0,12.797,23.621,0,1,0,0,0,1,1,680.533,-38.254,-0.002,109.631,0,0,1043,0.1,76.779,1,
2014-Apr-10_14-33-22,14-33-22.1,12.58,1.554,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.656,19.219,0,0,0,0,12.797,23.047,0,1,0,0,0,1,1,588.206,-38.322,0.003,109.517,0,0,1044,0.1,76.918,1,
2014-Apr-10_14-33-22,14-33-22.2,12.58,1.554,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.656,19.219,0,0,0,0,12.797,23.047,0,1,0,0,0,1,1,588.206,-38.322,0.003,109.517,0,0,1044,0.1,76.918,1,
2014-Apr-10_14-33-22,14-33-22.3,12.563,3.023,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.762,22.855,0,1,0,0,0,1,1,587.156,-38.45,-0.002,109.631,0,0,1045,0.1,77.056,1,
2014-Apr-10_14-33-22,14-33-22.4,12.563,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.445,23.813,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.762,23.238,0,1,0,0,0,1,1,587.156,-38.548,-0.002,109.631,0,0,1046,0.1,77.194,1,
2014-Apr-10_14-33-22,14-33-22.5,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.48,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.762,23.621,0,1,0,0,0,1,1,585.058,-38.556,-0.002,109.403,0,0,1047,0.1,77.333,1,
2014-Apr-10_14-33-22,14-33-22.6,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.48,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.762,23.621,0,1,0,0,0,1,1,585.058,-38.556,-0.002,109.403,0,0,1047,0.1,77.333,1,
2014-Apr-10_14-33-22,14-33-22.7,12.563,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.445,23.813,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.219,0,0,0,0,12.762,22.664,0,1,0,0,0,1,1,586.107,-38.605,0.003,109.517,0,0,1048,0.1,77.471,1,
2014-Apr-10_14-33-22,14-33-22.8,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.445,23.621,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.762,23.621,0,1,0,0,0,1,1,586.107,-38.612,-0.002,109.517,0,0,1049,0.1,77.609,1,
2014-Apr-10_14-33-23,14-33-23.0,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.621,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.621,19.219,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,587.156,-38.671,0.003,109.746,0,0,1050,0.1,77.747,1,
2014-Apr-10_14-33-23,14-33-23.1,12.58,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.75,0,0,0,0,0.129,12.48,23.238,0,0,0,0,-0.035,12.516,19.219,0,0,0,0,0.173,12.656,19.602,0,0,0,0,12.797,22.855,0,1,0,0,0,1,1,586.107,-38.722,0.008,109.517,0,0,1051,0.1,77.884,1,
2014-Apr-10_14-33-23,14-33-23.2,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.48,21.133,0,0,0,0,0.129,12.48,23.43,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.793,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,587.156,-38.836,0.008,109.631,0,0,1052,0.1,78.019,1,
2014-Apr-10_14-33-23,14-33-23.3,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.48,21.133,0,0,0,0,0.129,12.48,23.43,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.793,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,587.156,-38.836,0.008,109.631,0,0,1052,0.1,78.019,1,
2014-Apr-10_14-33-23,14-33-23.4,12.58,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.559,0,0,0,0,0.129,12.445,23.621,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,20.176,0,0,0,0,12.797,23.813,0,1,0,0,0,1,1,589.255,-38.897,0.003,109.631,0,0,1053,0.1,78.157,1,
2014-Apr-10_14-33-23,14-33-23.5,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.559,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,18.453,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.797,23.047,0,1,0,0,0,1,1,299.682,-38.958,0.008,109.746,0,0,1054,0.1,78.296,1,
2014-Apr-10_14-33-23,14-33-23.6,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.559,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.602,0,0,0,0,12.797,23.047,0,1,0,0,0,1,1,298.633,-38.984,-0.002,109.631,0,0,1055,0.1,78.434,1,
2014-Apr-10_14-33-23,14-33-23.7,12.58,2.288,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.559,0,0,0,0,0.129,12.48,23.813,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.602,0,0,0,0,12.797,23.047,0,1,0,0,0,1,1,298.633,-38.984,-0.002,109.631,0,0,1055,0.1,78.434,1,
2014-Apr-10_14-33-23,14-33-23.8,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.445,24.195,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.621,19.219,0,0,0,0,12.762,22.855,0,1,0,0,0,1,1,396.207,-39.086,-0.002,109.631,0,0,1056,0.1,78.572,1,
2014-Apr-10_14-33-23,14-33-23.9,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.43,0,0,0,0,-0.035,12.48,19.41,0,0,0,0,0.173,12.621,19.984,0,0,0,0,12.762,23.238,0,1,0,0,0,1,1,582.96,-39.166,0.003,109.517,0,0,1057,0.1,78.711,1,
??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Apr-10_14-33-24,14-33-24.1,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.559,0,0,0,0,0.129,12.445,24.195,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.621,19.41,0,0,0,0,12.762,23.238,0,1,0,0,0,1,1,277.65,-39.2,-0.002,109.631,0,0,1058,0.1,78.849,1,
2014-Apr-10_14-33-24,14-33-24.2,12.563,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.445,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.762,23.238,0,1,0,0,0,1,1,283.945,-39.282,-0.007,109.631,0,0,1059,0.1,78.988,1,
2014-Apr-10_14-33-24,14-33-24.3,12.563,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.445,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.762,23.238,0,1,0,0,0,1,1,283.945,-39.282,-0.007,109.631,0,0,1059,0.1,78.988,1,
2014-Apr-10_14-33-24,14-33-24.4,12.563,2.656,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.445,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.762,23.43,0,1,0,0,0,1,1,585.058,-39.307,0.003,109.631,0,0,1060,0.1,79.125,1,
2014-Apr-10_14-33-24,14-33-24.5,12.58,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.75,0,0,0,0,0.129,12.48,24.004,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.602,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,584.009,-39.394,-0.002,109.631,0,0,1061,0.1,79.266,1,
2014-Apr-10_14-33-24,14-33-24.6,12.58,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.941,0,0,0,0,0.129,12.48,23.621,0,0,0,0,-0.035,12.516,18.836,0,0,0,0,0.173,12.656,19.41,0,0,0,0,12.762,22.855,0,1,0,0,0,1,1,257.715,-39.442,0.008,109.517,0,0,1062,0.1,79.404,1,
2014-Apr-10_14-33-24,14-33-24.7,12.589,1.554,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.621,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,254.568,-39.524,0.003,109.517,0,0,1063,0.1,79.543,1,
2014-Apr-10_14-33-24,14-33-24.8,12.589,1.554,0,0.001,0,0,0,0,0,0,-0.286,12.48,20.367,0,0,0,0,0.129,12.48,23.621,0,0,0,0,-0.035,12.516,19.027,0,0,0,0,0.173,12.621,19.793,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,254.568,-39.524,0.003,109.517,0,0,1063,0.1,79.543,1,
2014-Apr-10_14-33-24,14-33-24.9,12.58,1.921,0,0.001,0,0,0,0,0,0,-0.286,12.516,20.367,0,0,0,0,0.129,12.48,23.43,0,0,0,0,-0.035,12.516,18.453,0,0,0,0,0.173,12.656,19.793,0,0,0,0,12.797,23.238,0,1,0,0,0,1,1,258.765,-39.605,-0.002,109.517,0,0,1064,0.1,79.678,1,
