2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Apr-10_10-02-26,10-02-26.9,12.52,2.288,-0.001,0.001,0,0,0.031,0,0,0,0.113,12.094,22.281,0,0,0,0,-0.091,12.094,25.535,0,0,0,0,0.097,12.234,20.367,0,0,0,0,-0.088,12.375,21.133,0,-1,-12.48,5.719,12.48,24.961,0,1,0,0,0,0,1,1421.747,-30.48,-0.002,109.631,0,0,848,0.1,0.058,1,
2014-Apr-10_10-02-27,10-02-27.0,12.407,7.796,-0.001,0.001,0,0,0.031,-1,-2.719,5.984,0.116,11.777,21.898,0,1,4.48,14.387,-0.094,10.898,24.961,0,-1,-5.527,20.688,0.101,11.039,19.793,0,1,7.074,23.578,-0.094,10.688,20.75,0,0,0,0,11.004,25.152,1,1,0,0,0,1,1,1427.096,-30.52,-0.002,109.517,0,0,849,0.1,0.199,1,
2014-Apr-10_10-02-27,10-02-27.1,12.407,7.796,-0.001,0.001,0,0,0.031,-1,-2.719,5.984,0.116,11.777,21.898,0,1,4.48,14.387,-0.094,10.898,24.961,0,-1,-5.527,20.688,0.101,11.039,19.793,0,1,7.074,23.578,-0.094,10.688,20.75,0,0,0,0,11.004,25.152,1,1,0,0,0,1,1,1427.096,-30.52,-0.002,109.517,0,0,849,0.1,0.199,1,
2014-Apr-10_10-02-27,10-02-27.2,10.395,90.404,-0.001,0.001,0,0,0.031,-1,-10.16,10.973,0.468,10.16,22.281,0,1,9.98,15.438,-0.431,9.984,25.535,0,-1,-10.09,25.547,0.405,10.16,20.367,0,1,10.332,27.648,-0.402,10.336,20.941,0,0,0,0,10.898,24.578,1,1,0,0,0,1,1,1424.421,-29.978,-0.002,109.631,0,0,850,0.1,0.344,1,
2014-Apr-10_10-02-27,10-02-27.3,10.965,59.563,-0.001,0.001,0,0,0.031,-1,-10.758,10.055,1.028,10.793,22.473,0,1,10.684,13.73,-0.946,10.617,25.727,0,-1,-10.863,12.023,0.921,10.863,20.559,0,1,11.035,10.184,-0.911,11.074,20.941,0,0,0,0,11.285,25.152,1,1,0,0,0,1,1,1389.656,-30.544,-0.002,109.517,0,0,851,0.1,0.485,1,
2014-Apr-10_10-02-27,10-02-27.5,11.354,36.8,-0.001,0.001,0,0,0.031,-1,-11.18,7.164,1.625,11.25,22.473,0,1,11.07,8.082,-1.543,11.109,25.344,0,-1,-11.215,8.348,1.527,11.215,19.984,0,1,11.352,8.348,-1.521,11.391,20.75,0,0,0,0,11.602,25.152,1,1,0,0,0,1,1,1368.261,-30.529,0.008,109.517,0,0,852,0.1,0.626,1,
2014-Apr-10_10-02-27,10-02-27.6,11.561,29.457,-0.001,0.001,0,0,0.031,-1,-11.461,5.852,2.272,11.391,22.281,0,1,11.422,6.902,-2.241,11.426,25.344,0,-1,-11.391,5.852,2.203,11.426,20.75,0,1,11.563,6.375,-2.194,11.531,21.707,0,0,0,0,11.777,24.578,1,1,0,0,0,1,1,1293.381,-30.468,0.003,109.631,0,0,853,0.1,0.771,1,
2014-Apr-10_10-02-27,10-02-27.7,11.561,29.457,-0.001,0.001,0,0,0.031,-1,-11.461,5.852,2.272,11.391,22.281,0,1,11.422,6.902,-2.241,11.426,25.344,0,-1,-11.391,5.852,2.203,11.426,20.75,0,1,11.563,6.375,-2.194,11.531,21.707,0,0,0,0,11.777,24.578,1,1,0,0,0,1,1,1293.381,-30.468,0.003,109.631,0,0,853,0.1,0.771,1,
2014-Apr-10_10-02-27,10-02-27.8,11.647,21.747,-0.001,0.001,0,0,0.031,-1,-11.566,4.801,2.976,11.602,22.09,0,1,11.422,5.59,-2.923,11.461,25.344,0,-1,-11.496,5.195,2.888,11.496,20.75,0,1,11.703,5.324,-2.885,11.672,21.324,0,0,0,0,11.953,24.578,1,1,0,0,0,1,1,1255.941,-30.682,-0.002,109.631,0,0,854,0.1,0.91,1,
2014-Apr-10_10-02-27,10-02-27.9,11.716,20.646,-0.001,0.001,0,0,0.031,-1,-11.602,4.539,3.677,11.602,22.281,0,1,11.563,4.934,-3.617,11.566,25.535,0,-1,-11.602,4.406,3.589,11.602,20.559,0,1,11.773,4.934,-3.589,11.777,21.324,0,0,0,0,11.883,24.961,1,1,0,0,0,1,1,1181.061,-31.027,-0.002,109.517,0,0,855,0.1,1.051,1,
