2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled
2014-Apr-10_10-32-19,10-32-19.2,12.831,1.187,-0.001,0,0,0,-0.023,0,0,0,0.528,12.762,22.664,0,0,0,0,0.11,12.34,26.492,0,0,0,0,0.006,10.828,21.707,0,0,0,0,-0.669,11.426,22.09,0,-1,-11.637,6.113,11.672,25.727,1,1,0,0,0,0,1,1432.444,328.914,0.008,109.403,1,1,1399,0.1,0.055,1
2014-Apr-10_10-32-19,10-32-19.3,12.425,14.037,-0.001,0,0,0,-0.023,0,0,0,0.531,12.375,23.047,0,0,0,0,0.11,12.305,25.727,0,0,0,0,0.006,12.375,21.516,0,0,0,0,-0.669,12.48,21.898,0,-1,-12.586,3.617,12.621,25.535,1,1,0,0,0,0,1,1427.096,329.13,-0.002,109.631,1,1,1400,0.1,0.191,1
2014-Apr-10_10-32-19,10-32-19.4,12.511,11.1,-0.001,0,0,0,-0.023,0,0,0,0.528,12.41,23.047,0,0,0,0,0.11,12.375,25.918,0,0,0,0,0.003,12.41,20.941,0,0,0,0,-0.666,12.551,21.516,0,-1,-12.691,1.648,12.656,26.109,1,1,0,0,0,0,1,1429.77,329.277,-0.002,109.631,1,1,1401,0.1,0.328,1
2014-Apr-10_10-32-19,10-32-19.5,12.511,10.366,-0.001,0,0,0,-0.023,0,0,0,0.528,12.445,23.238,0,0,0,0,0.11,12.375,26.109,0,0,0,0,0.003,12.41,21.898,0,0,0,0,-0.666,12.586,21.707,0,-1,-12.656,2.438,12.621,26.109,1,1,0,0,0,0,1,1429.77,329.477,-0.002,109.517,1,1,1402,0.1,0.465,1
2014-Apr-10_10-32-19,10-32-19.6,12.511,10.366,-0.001,0,0,0,-0.023,0,0,0,0.528,12.445,23.238,0,0,0,0,0.11,12.375,26.109,0,0,0,0,0.003,12.41,21.898,0,0,0,0,-0.666,12.586,21.707,0,-1,-12.656,2.438,12.621,26.109,1,1,0,0,0,0,1,1429.77,329.477,-0.002,109.517,1,1,1402,0.1,0.465,1
2014-Apr-10_10-32-19,10-32-19.7,12.364,16.607,-0.001,0,0,0,-0.023,0,0,0,0.528,12.27,23.047,0,0,0,0,0.11,12.305,26.109,0,0,0,0,0.006,12.305,20.75,0,0,0,0,-0.669,12.375,21.516,0,-1,-12.48,4.668,12.48,25.152,1,1,0,0,0,0,1,1427.096,329.66,0.003,109.631,1,1,1403,0.1,0.599,1
2014-Apr-10_10-32-19,10-32-19.8,12.373,15.506,-0.001,0,0,0,-0.023,0,0,0,0.528,12.27,23.047,0,0,0,0,0.11,12.234,25.918,0,0,0,0,0.006,12.305,21.898,0,0,0,0,-0.669,12.445,22.09,0,-1,-12.445,4.801,12.48,25.727,1,1,0,0,0,0,1,1429.77,329.761,0.008,109.631,1,1,1404,0.1,0.735,1
2014-Apr-10_10-32-19,10-32-19.9,12.235,19.911,-0.001,0,0,0,-0.023,0,0,0,0.528,12.129,23.43,0,1,0.582,0,0.11,12.094,25.727,0,-1,-1.969,5.852,0.006,12.199,21.133,0,1,4.047,12.418,-0.669,11.918,22.09,0,0,0,0,12.164,25.152,1,1,0,0,0,1,1,1424.421,330.076,0.003,109.517,0,0,1405,0.1,0.878,1
2014-Apr-10_10-32-20,10-32-20.0,12.235,19.911,-0.001,0,0,0,-0.023,0,0,0,0.528,12.129,23.43,0,1,0.582,0,0.11,12.094,25.727,0,-1,-1.969,5.852,0.006,12.199,21.133,0,1,4.047,12.418,-0.669,11.918,22.09,0,0,0,0,12.164,25.152,1,1,0,0,0,1,1,1424.421,330.076,0.003,109.517,0,0,1405,0.1,0.878,1
2014-Apr-10_10-32-20,10-32-20.2,10.931,77.921,-0.001,0,0,0,-0.023,-1,-10.723,9.398,0.833,10.723,23.238,0,1,10.508,10.84,-0.182,10.547,25.918,0,-1,-10.301,25.68,0.277,10.336,21.516,0,1,10.227,32.637,-0.933,10.23,22.664,0,0,0,0,10.828,24.961,1,1,0,0,0,1,1,1427.096,330.985,0.008,109.517,0,0,1406,0.1,1.024,1
2014-Apr-10_10-32-20,10-32-20.3,11.181,60.665,-0.001,0,0,0,-0.023,-1,-10.934,11.367,1.424,10.969,23.047,0,1,10.895,12.023,-0.751,10.969,25.918,0,-1,-11.039,14.125,0.757,11.004,21.133,0,1,11.07,14.254,-1.402,11.039,21.707,0,0,0,0,11.461,25.727,1,1,0,0,0,1,1,1397.679,332.464,0.008,109.517,0,0,1407,0.1,1.166,1
2014-Apr-10_10-32-20,10-32-20.4,11.613,38.636,-0.001,0,0,0,-0.023,-1,-11.426,9.004,2.059,11.391,23.238,0,1,11.352,9.133,-1.37,11.32,25.918,0,-1,-11.496,7.953,1.411,11.531,21.898,0,1,11.598,8.215,-2.033,11.566,21.898,0,0,0,0,11.883,25.727,1,1,0,0,0,1,1,1362.913,333.812,-0.002,109.403,0,0,1408,0.1,1.309,1
