2014-Mar-28_15-55-52,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_16-43-33,16-43-33.3,12.243,18.81,0,0.001,-0.001,0,0,0,0,0,-0.823,12.199,23.047,0,0,0,0,-0.908,12.199,26.301,0,0,0,0,0.845,12.27,21.133,0,0,0,0,0.962,12.445,21.707,0,-1,-12.516,2.57,12.551,25.535,1,1,0,0,0,0,1,1435.119,-91.075,-0.002,109.403,1,1,1675,0.1,0.124,1,?4u?,
2014-Mar-28_16-43-33,16-43-33.4,12.442,9.264,0,0.001,-0.001,0,0,0,0,0,-0.823,12.375,23.621,0,0,0,0,-0.908,12.34,26.109,0,0,0,0,0.845,12.375,21.707,0,0,0,0,0.965,12.516,22.09,0,-1,-12.621,2.043,12.621,25.152,1,1,0,0,0,0,1,1435.119,-91.176,-0.002,109.631,1,1,1676,0.1,0.259,1,????,
2014-Mar-28_16-43-33,16-43-33.5,12.442,9.264,0,0.001,-0.001,0,0,0,0,0,-0.823,12.375,23.621,0,0,0,0,-0.908,12.34,26.109,0,0,0,0,0.845,12.375,21.707,0,0,0,0,0.965,12.516,22.09,0,-1,-12.621,2.043,12.621,25.152,1,1,0,0,0,0,1,1435.119,-91.176,-0.002,109.631,1,1,1676,0.1,0.259,1,i??,
2014-Mar-28_16-43-33,16-43-33.7,12.39,11.467,0,0.001,-0.001,0,0,0,0,0,-0.823,12.305,23.238,0,0,0,0,-0.908,12.27,26.684,0,0,0,0,0.845,12.305,21.324,0,0,0,0,0.965,12.445,21.707,0,-1,-12.516,3.75,12.551,25.918,1,1,0,0,0,0,1,1437.793,-91.247,0.003,109.631,1,1,1679,0.1,0.67,1,?C?6,
2014-Mar-28_16-43-33,16-43-33.8,12.39,11.467,0,0.001,-0.001,0,0,0,0,0,-0.823,12.305,23.238,0,0,0,0,-0.908,12.27,26.684,0,0,0,0,0.845,12.305,21.324,0,0,0,0,0.965,12.445,21.707,0,-1,-12.516,3.75,12.551,25.918,1,1,0,0,0,0,1,1437.793,-91.247,0.003,109.631,1,1,1679,0.1,0.67,1,O???,
2014-Mar-28_16-43-33,16-43-33.9,12.407,10.366,0,0.001,-0.001,0,0,0,0,0,-0.823,12.305,23.43,0,0,0,0,-0.908,12.27,26.301,0,0,0,0,0.845,12.305,21.707,0,0,0,0,0.965,12.41,21.898,0,-1,-12.445,6.246,12.41,25.918,1,1,0,0,0,0,1,1435.119,-91.434,-0.002,109.631,1,1,1680,0.1,0.806,1,?3g,
2014-Mar-28_16-43-34,16-43-34.0,12.407,10.366,0,0.001,-0.001,0,0,0,0,0,-0.823,12.305,23.43,0,0,0,0,-0.908,12.27,26.301,0,0,0,0,0.845,12.305,21.707,0,0,0,0,0.965,12.41,21.898,0,-1,-12.445,6.246,12.41,25.918,1,1,0,0,0,0,1,1435.119,-91.434,-0.002,109.631,1,1,1680,0.1,0.806,1,??_,
2014-Mar-28_16-43-34,16-43-34.1,12.58,3.023,0,0.001,-0.001,0,0,-0.08,-0.996,1.648,-0.823,12.41,23.047,0,0.08,0.98,4.406,-0.908,12.27,26.492,0,-0.08,-1.242,5.324,0.845,12.41,21.324,0,0.1,1.246,6.246,0.965,12.48,21.707,0,0,0,0,12.762,25.727,1,1,0,0,0,1,1,1440.467,-91.544,0.003,109.631,0,0,1681,0.1,0.947,1,|?@i,
2014-Mar-28_16-43-34,16-43-34.3,12.494,7.061,0,0.001,-0.001,0,0,-0.22,-2.715,5.063,-0.823,12.305,23.43,0,0.22,2.652,8.348,-0.921,12.059,25.727,0,-0.24,-2.953,5.719,0.845,12.27,21.516,0,0.24,2.949,8.348,0.952,12.27,21.898,0,0,0,0,12.621,25.535,1,1,0,0,0,1,1,1437.793,-91.893,0.008,109.517,0,0,1682,0.1,1.088,1,r?`,
2014-Mar-28_16-43-34,16-43-34.4,12.226,18.443,0,0.001,-0.001,0,0,-0.36,-4.305,10.578,-0.72,11.918,23.238,0,0.36,4.211,12.418,-1.015,11.637,25.727,0,-0.38,-4.516,12.285,0.952,11.988,21.133,0,0.38,4.555,11.496,0.867,12.023,21.324,0,0,0,0,12.41,26.109,1,1,0,0,0,1,1,1432.444,-92.367,0.008,109.403,0,0,1683,0.1,1.228,1,@??,
