2014-Mar-28_10-02-41,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Mar-28_17-40-05,17-40-05.9,12.796,8.897,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.387,0,0,0,0,0,12.691,27.449,0,0,0,0,0,12.727,21.707,0,0,0,0,0,12.832,22.473,0,0,0,0,13.008,25.344,1,1,0,0,0,1,0,81.93,0.141,0.003,24.52,0,0,1,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.0,12.796,8.897,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.387,0,0,0,0,0,12.691,27.449,0,0,0,0,0,12.727,21.707,0,0,0,0,0,12.832,22.473,0,0,0,0,13.008,25.344,1,1,0,0,0,1,0,81.93,0.141,0.003,24.52,0,0,1,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.1,12.787,10.366,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.387,0,0,0,0,0,12.691,27.258,0,0,0,0,0,12.727,21.707,0,0,0,0,0,12.797,22.09,0,0,0,0,12.973,24.961,1,1,0,0,0,1,0,81.93,0.078,-0.002,26.119,0,0,2,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.2,12.761,8.897,0,0.001,0,0,-0.008,0,0,0,0,12.691,24.195,0,0,0,0,0,12.656,27.449,0,0,0,0,0,12.727,21.133,0,0,0,0,0,12.832,22.281,0,0,0,0,13.008,25.535,1,1,0,0,0,1,0,1871.027,0.139,-0.002,29.546,0,0,3,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.6,12.761,8.163,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.387,0,0,0,0,0,12.656,27.449,0,0,0,0,0.003,12.691,21.133,0,0,0,0,0,12.797,22.664,0,0,0,0,12.938,24.578,1,1,0,0,0,1,0,1782.776,0.169,0.003,25.891,0,0,5,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.7,12.753,9.264,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.578,0,0,0,0,0,12.656,27.449,0,0,0,0,0.003,12.656,21.707,0,0,0,0,0,12.762,23.238,0,0,0,0,12.938,25.152,1,1,0,0,0,1,0,1916.49,0.189,0.008,27.719,0,0,6,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.8,12.736,9.998,0,0.001,0,0,-0.008,0,0,0,0,12.656,24.387,0,0,0,0,0,12.621,27.449,0,0,0,0,0.003,12.656,21.516,0,0,0,0,0,12.762,22.281,0,0,0,0,12.973,25.535,1,1,0,0,0,1,0,1913.816,0.241,0.008,28.747,0,0,7,0.1,0,1,
2014-Mar-28_17-40-06,17-40-06.9,12.718,10.733,0,0.001,0,0,-0.008,0,0,0,0,12.621,24.195,0,0,0,0,0,12.621,27.258,0,0,0,0,0.003,12.691,22.281,0,0,0,0,0,12.762,22.855,0,0,0,0,12.938,24.961,1,1,0,0,0,1,0,1919.164,0.266,0.008,31.146,0,0,8,0.1,0,1,
2014-Mar-28_17-40-07,17-40-07.0,12.718,8.897,0,0.001,0,0,-0.008,0,0,0,0,12.691,24.387,0,0,0,0,0,12.621,27.641,0,0,0,0,0.003,12.656,21.516,0,0,0,0,0,12.797,22.281,0,0,0,0,12.938,25.152,1,1,0,0,0,1,0,1913.816,0.254,0.003,29.775,0,0,9,0.1,0,1,
2014-Mar-28_17-40-07,17-40-07.1,12.718,8.897,0,0.001,0,0,-0.008,0,0,0,0,12.691,24.387,0,0,0,0,0,12.621,27.641,0,0,0,0,0.003,12.656,21.516,0,0,0,0,0,12.797,22.281,0,0,0,0,12.938,25.152,1,1,0,0,0,1,0,1913.816,0.254,0.003,29.775,0,0,9,0.1,0,1,
