2014-Mar-28_10-10-04,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_12-37-10,12-37-10.4,12.831,1.554,0,0.001,-0.001,0,0,0,0,0,-7.405,12.48,23.813,0,0,0,0,8.344,12.445,26.684,0,0,0,0,-3.451,12.551,22.09,0,0,0,0,9.095,12.727,22.281,0,-1,-12.797,5.324,12.797,26.301,1,1,0,0,0,1,1,1916.49,-14.164,-0.002,109.631,0,0,1330870528,0.05,0.075,1,??!i,
2014-Mar-28_12-37-10,12-37-10.4,12.684,6.694,0,0.001,-0.001,0,0,-0.12,-1.508,3.883,-7.405,12.516,23.43,0,0.12,1.48,4.801,8.344,12.34,26.684,0,-0.12,-1.508,4.539,-3.448,12.516,21.898,0,0.14,1.766,5.195,9.092,12.621,22.281,0,0,0,0,12.938,26.492,1,1,0,0,0,1,1,1913.816,-14.183,0.008,109.631,0,0,1330870529,0.05,0.165,1,=?5?,
2014-Mar-28_12-37-10,12-37-10.5,12.684,6.694,0,0.001,-0.001,0,0,-0.12,-1.508,3.883,-7.405,12.516,23.43,0,0.12,1.48,4.801,8.344,12.34,26.684,0,-0.12,-1.508,4.539,-3.448,12.516,21.898,0,0.14,1.766,5.195,9.092,12.621,22.281,0,0,0,0,12.938,26.492,1,1,0,0,0,1,1,1913.816,-14.183,0.008,109.631,0,0,1330870529,0.05,0.165,1,?\?,
2014-Mar-28_12-37-10,12-37-10.5,12.692,5.96,0,0.001,-0.001,0,0,-0.2,-2.504,6.113,-7.383,12.516,23.813,0,0.2,2.465,6.508,8.325,12.27,26.684,0,-0.22,-2.754,6.641,-3.435,12.516,22.281,0,0.22,2.758,6.246,9.07,12.516,22.281,0,0,0,0,12.832,26.301,1,1,0,0,0,1,1,1913.816,-14.266,0.008,109.517,0,0,1330870530,0.05,0.256,1,f???,
2014-Mar-28_12-37-10,12-37-10.6,12.476,14.037,0,0.001,-0.001,0,0,-0.3,-3.621,10.711,-7.339,12.129,24.387,0,0.3,3.543,13.469,8.281,11.848,26.492,0,-0.3,-3.66,10.711,-3.388,12.129,22.281,0,0.32,3.902,11.367,9.026,12.27,22.473,0,0,0,0,12.656,26.301,1,1,0,0,0,1,1,1913.816,-14.591,-0.002,109.631,0,0,1330870531,0.05,0.345,1,??_t,
2014-Mar-28_12-37-10,12-37-10.7,12.476,14.037,0,0.001,-0.001,0,0,-0.3,-3.621,10.711,-7.339,12.129,24.387,0,0.3,3.543,13.469,8.281,11.848,26.492,0,-0.3,-3.66,10.711,-3.388,12.129,22.281,0,0.32,3.902,11.367,9.026,12.27,22.473,0,0,0,0,12.656,26.301,1,1,0,0,0,1,1,1913.816,-14.591,-0.002,109.631,0,0,1330870531,0.05,0.345,1,?=C],
2014-Mar-28_12-37-10,12-37-10.7,12.356,19.911,0,0.001,-0.001,0,0,-0.38,-4.598,11.762,-7.257,12.094,24.004,0,0.38,4.488,13.203,8.193,11.813,26.684,0,-0.4,-4.797,10.055,-3.306,12.094,22.281,0,0.4,4.879,10.578,8.938,12.199,22.281,0,0,0,0,12.551,25.918,1,1,0,0,0,1,1,1913.816,-14.8,0.003,109.517,0,0,1330870532,0.05,0.435,1,???,
2014-Mar-28_12-37-10,12-37-10.8,12.304,20.646,0,0.001,-0.001,0,0,-0.48,-5.758,10.84,-7.122,11.988,23.43,0,0.48,5.602,12.813,8.061,11.672,26.301,0,-0.48,-5.773,9.789,-3.177,12.023,21.707,0,0.5,6.027,10.055,8.797,12.059,22.855,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,1921.839,-14.998,0.008,109.631,0,0,1330870533,0.05,0.525,1,???Z,
2014-Mar-28_12-37-10,12-37-10.9,12.304,20.646,0,0.001,-0.001,0,0,-0.48,-5.758,10.84,-7.122,11.988,23.43,0,0.48,5.602,12.813,8.061,11.672,26.301,0,-0.48,-5.773,9.789,-3.177,12.023,21.707,0,0.5,6.027,10.055,8.797,12.059,22.855,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,1921.839,-14.998,0.008,109.631,0,0,1330870533,0.05,0.525,1,=?g?,
2014-Mar-28_12-37-10,12-37-10.9,12.209,25.052,0,0.001,-0.001,0,0,-0.56,-6.676,10.578,-6.939,11.918,24.004,0,0.56,6.699,11.496,7.87,11.566,26.492,0,-0.58,-6.895,10.184,-2.998,11.883,22.09,0,0.58,6.973,10.445,8.611,11.988,22.281,0,0,0,0,12.375,26.109,1,1,0,0,0,1,1,1916.49,-15.172,0.008,109.631,0,0,1330870534,0.05,0.615,1,???,
2014-Mar-28_12-37-11,12-37-11.0,12.131,28.356,0,0.001,-0.001,0,0,-0.66,-7.82,10.055,-6.713,11.848,23.813,0,0.66,7.586,12.023,7.64,11.531,26.684,0,-0.66,-7.867,9.133,-2.775,11.848,21.707,0,0.68,8.078,10.578,8.382,11.918,22.473,0,0,0,0,12.27,25.344,1,1,0,0,0,1,1,1413.724,-15.296,-0.002,109.631,0,0,1330870535,0.05,0.705,1,"	G?",
2014-Mar-28_12-37-11,12-37-11.0,12.131,28.356,0,0.001,-0.001,0,0,-0.66,-7.82,10.055,-6.713,11.848,23.813,0,0.66,7.586,12.023,7.64,11.531,26.684,0,-0.66,-7.867,9.133,-2.775,11.848,21.707,0,0.68,8.078,10.578,8.382,11.918,22.473,0,0,0,0,12.27,25.344,1,1,0,0,0,1,1,1413.724,-15.296,-0.002,109.631,0,0,1330870535,0.05,0.705,1,??CV,
2014-Mar-28_12-37-11,12-37-11.1,11.958,33.496,0,0.001,-0.001,0,0,-0.74,-8.637,12.418,-6.443,11.777,23.621,0,0.76,8.656,12.418,7.357,11.426,26.301,0,-0.76,-8.98,9.266,-2.502,11.742,21.898,0,0.76,9.027,10.184,8.09,11.813,22.664,0,0,0,0,12.164,26.109,1,1,0,0,0,1,1,1392.33,-15.32,0.008,109.517,0,0,1330870536,0.05,0.795,1,"	""?{",
2014-Mar-28_12-37-11,12-37-11.2,11.932,36.433,0,0.001,-0.001,0,0,-0.84,-9.777,11.105,-6.125,11.602,23.813,0,0.84,9.566,12.418,7.049,11.32,26.684,0,-0.84,-9.863,9.133,-2.2,11.707,21.707,0,0.86,10.125,9.398,7.775,11.742,21.898,0,0,0,0,12.094,25.918,1,1,0,0,0,1,1,1368.261,-15.511,0.003,109.517,0,0,1330870537,0.05,0.887,1,B>,
2014-Mar-28_12-37-11,12-37-11.2,11.846,37.167,0,0.001,-0.001,0,0,-0.92,-10.738,9.133,-5.758,11.602,23.813,0,0.94,10.605,10.84,6.666,11.32,27.066,0,-0.94,-10.941,9.004,-1.829,11.637,21.898,0,0.96,11.168,9.922,7.392,11.602,22.09,0,0,0,0,11.953,26.301,1,1,0,0,0,1,1,1338.844,-15.567,0.008,109.631,0,0,1330870538,0.05,0.979,1,<\?,
2014-Mar-28_12-37-11,12-37-11.3,11.846,37.167,0,0.001,-0.001,0,0,-0.92,-10.738,9.133,-5.758,11.602,23.813,0,0.94,10.605,10.84,6.666,11.32,27.066,0,-0.94,-10.941,9.004,-1.829,11.637,21.898,0,0.96,11.168,9.922,7.392,11.602,22.09,0,0,0,0,11.953,26.301,1,1,0,0,0,1,1,1338.844,-15.567,0.008,109.631,0,0,1330870538,0.05,0.979,1, ??y,
2014-Mar-28_12-37-11,12-37-11.4,11.725,40.839,0,0.001,-0.001,0,0,-1,-11.531,9.004,-5.343,11.496,23.813,0,1,11.492,10.184,6.267,11.496,26.875,0,-1,-11.602,8.348,-1.433,11.602,21.898,0,1,11.773,9.133,7.002,11.742,22.09,0,0,0,0,12.023,26.684,1,1,0,0,0,1,1,1306.753,-15.906,0.003,109.403,0,0,1330870539,0.05,1.068,1,c?g,
2014-Mar-28_12-37-11,12-37-11.4,11.889,33.129,0,0.001,-0.001,0,0,-1,-11.707,7.953,-4.884,11.707,23.238,0,1,11.633,7.426,5.798,11.637,27.066,0,-1,-11.777,6.508,-1.002,11.742,21.707,0,1,11.879,7.82,6.55,11.883,22.473,0,0,0,0,12.094,26.301,1,1,0,0,0,1,1,1271.987,-16.061,-0.002,109.517,0,0,1330870540,0.05,1.158,1,??r:,
2014-Mar-28_12-37-11,12-37-11.5,11.889,33.129,0,0.001,-0.001,0,0,-1,-11.707,7.953,-4.884,11.707,23.238,0,1,11.633,7.426,5.798,11.637,27.066,0,-1,-11.777,6.508,-1.002,11.742,21.707,0,1,11.879,7.82,6.55,11.883,22.473,0,0,0,0,12.094,26.301,1,1,0,0,0,1,1,1271.987,-16.061,-0.002,109.517,0,0,1330870540,0.05,1.158,1,??,?
2014-Mar-28_12-37-11,12-37-11.5,11.984,30.926,0,0.001,-0.001,0,0,-1,-11.813,5.984,-4.441,11.813,23.43,0,1,11.773,7.82,5.349,11.777,27.066,0,-1,-11.918,5.457,-0.553,11.883,22.09,0,1,12.02,5.852,6.11,11.988,22.473,0,0,0,0,12.199,26.109,1,1,0,0,0,1,1,1242.57,-16.315,0.003,109.517,0,0,1330870541,0.05,1.248,1,~??,
2014-Mar-28_12-37-11,12-37-11.6,12.053,24.684,0,0.001,-0.001,0,0,-1,-11.883,5.195,-3.954,11.883,23.621,0,1,11.809,6.77,4.859,11.848,27.258,0,-1,-11.988,5.195,-0.094,11.953,22.09,0,1,12.055,5.719,5.619,12.023,22.09,0,0,0,0,12.305,26.684,1,1,0,0,0,1,1,1215.827,-16.81,-0.002,109.517,0,0,1330870542,0.05,1.338,1,??,
2014-Mar-28_12-37-11,12-37-11.7,12.053,24.684,0,0.001,-0.001,0,0,-1,-11.883,5.195,-3.954,11.883,23.621,0,1,11.809,6.77,4.859,11.848,27.258,0,-1,-11.988,5.195,-0.094,11.953,22.09,0,1,12.055,5.719,5.619,12.023,22.09,0,0,0,0,12.305,26.684,1,1,0,0,0,1,1,1215.827,-16.81,-0.002,109.517,0,0,1330870542,0.05,1.338,1,???,
2014-Mar-28_12-37-11,12-37-11.7,12.105,22.481,0,0.001,-0.001,0,0,-1,-11.953,5.063,-3.482,11.953,23.621,0,1,11.914,5.719,4.397,11.848,26.875,0,-1,-12.023,4.145,0.377,12.023,21.898,0,1,12.125,5.59,5.151,12.094,22.281,0,0,0,0,12.305,26.109,1,1,0,0,0,1,1,1205.13,-17.309,0.003,109.631,0,0,1330870543,0.05,1.429,1,d6?,
2014-Mar-28_12-37-11,12-37-11.8,12.131,22.114,0,0.001,-0.001,0,0,-1,-11.988,4.539,-2.97,12.023,24.195,0,1,11.914,5.719,3.891,11.918,27.258,0,-1,-12.059,4.277,0.855,12.059,21.324,0,1,12.09,4.406,4.642,12.129,21.707,0,0,0,0,12.34,26.109,1,1,0,0,0,1,1,1162.341,-17.761,0.003,109.746,0,0,1330870544,0.05,1.519,1,?/)R,
2014-Mar-28_12-37-11,12-37-11.9,12.131,22.114,0,0.001,-0.001,0,0,-1,-11.988,4.539,-2.97,12.023,24.195,0,1,11.914,5.719,3.891,11.918,27.258,0,-1,-12.059,4.277,0.855,12.059,21.324,0,1,12.09,4.406,4.642,12.129,21.707,0,0,0,0,12.34,26.109,1,1,0,0,0,1,1,1162.341,-17.761,0.003,109.746,0,0,1330870544,0.05,1.519,1,?Qq,
2014-Mar-28_12-37-11,12-37-11.9,12.157,19.911,0,0.001,-0.001,0,0,-1,-12.023,4.145,-2.499,12.023,23.813,0,1,11.914,5.719,3.419,11.953,26.875,0,-1,-12.023,4.145,1.333,12.094,21.516,0,1,12.16,4.539,4.167,12.129,22.09,0,0,0,0,12.34,26.684,1,1,0,0,0,1,1,1116.879,-17.976,-0.002,109.631,0,0,1330870545,0.05,1.61,1,N??,
2014-Mar-28_12-37-12,12-37-12.0,12.174,20.646,0,0.001,-0.001,0,0,-1,-12.023,4.539,-1.971,12.023,24.004,0,1,11.984,4.406,2.901,11.953,26.684,0,-1,-12.059,3.355,1.82,12.094,22.281,0,1,12.195,4.801,3.646,12.164,22.09,0,0,0,0,12.375,26.492,1,1,0,0,0,1,1,1079.438,-18.598,-0.002,109.631,0,0,1330870546,0.05,1.705,1,?,
