2014-Mar-28_10-10-04,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_14-27-26,14-27-26.6,11.613,14.037,0,-0.003,0,-0.008,0,0,0,0,8.08,11.496,23.238,0,0,0,0,-7.188,11.531,26.109,0,0,0,0,6.635,11.531,20.75,0,0,0,0,-7.823,11.672,21.898,0,0,0,0,11.672,25.152,1,1,0,0,0,1,0,662.25,-13.153,0.003,109.631,0,0,122,0.1,19.268,1,DE6?,
2014-Mar-28_14-27-26,14-27-26.8,11.362,11.467,0,0,-0.065,-0.008,-0.008,0,0,0,22.248,11.215,23.621,0,0,0,0,-16.516,11.25,27.449,0,0,0,0,14.966,11.391,21.324,0,0,0,0,-20.111,11.391,21.516,0,0,0,0,11.602,24.961,1,1,0,0,0,2,0,1913.816,-377.045,0.008,88.953,0,0,20804,0.1,124.498,1,]???,
2014-Mar-28_14-27-26,14-27-26.9,11.362,11.467,0,0,-0.065,-0.008,-0.008,0,0,0,22.248,11.215,23.621,0,0,0,0,-16.516,11.25,27.449,0,0,0,0,14.966,11.391,21.324,0,0,0,0,-20.111,11.391,21.516,0,0,0,0,11.602,24.961,1,1,0,0,0,2,0,1913.816,-377.045,0.008,88.953,0,0,20804,0.1,124.498,1,?e??,
2014-Mar-28_14-27-27,14-27-27.0,11.38,10.366,0,0,-0.065,-0.008,-0.008,0,0,0,22.251,11.215,24.387,0,0,0,0,-16.519,11.285,27.066,0,0,0,0,14.969,11.355,21.516,0,0,0,0,-20.114,11.391,22.09,0,0,0,0,11.602,25.344,1,1,0,0,0,2,0,1913.816,-377.079,0.008,90.781,0,0,20805,0.1,124.637,1,~??e,
2014-Mar-28_14-27-27,14-27-27.1,11.388,11.467,0,0,-0.065,-0.008,-0.008,0,0,0,22.251,11.215,24.195,0,0,0,0,-16.519,11.285,27.066,0,0,0,0,14.969,11.32,21.516,0,0,0,0,-20.114,11.426,22.09,0,0,0,0,11.566,25.152,1,1,0,0,0,2,0,1916.49,-377.067,0.003,90.781,0,0,20806,0.1,124.777,1,?Tg,
2014-Mar-28_14-27-27,14-27-27.2,11.406,11.467,0,0,-0.065,-0.008,-0.008,0,0,0,22.251,11.215,24.195,0,0,0,0,-16.519,11.285,27.066,0,0,0,0,14.969,11.215,22.281,0,0,0,0,-20.114,11.461,21.898,0,0,0,0,11.602,25.344,1,1,0,0,0,2,0,1911.142,-377.116,0.003,94.666,0,0,20807,0.1,124.916,1,C?>c,
2014-Mar-28_14-27-27,14-27-27.3,11.406,11.467,0,0,-0.065,-0.008,-0.008,0,0,0,22.251,11.215,24.195,0,0,0,0,-16.519,11.285,27.066,0,0,0,0,14.969,11.215,22.281,0,0,0,0,-20.114,11.461,21.898,0,0,0,0,11.602,25.344,1,1,0,0,0,2,0,1911.142,-377.116,0.003,94.666,0,0,20807,0.1,124.916,1,???U,
2014-Mar-28_14-27-27,14-27-27.4,11.406,11.1,0,0,-0.065,-0.008,-0.008,0,0,0,22.248,11.215,23.813,0,0,0,0,-16.519,11.32,27.449,0,0,0,0,14.969,11.215,21.516,0,0,0,0,-20.111,11.496,22.09,0,0,0,0,11.602,25.727,1,1,0,0,0,2,0,1913.816,-377.155,0.003,96.608,0,0,20808,0.1,125.054,1,H?Q,
2014-Mar-28_14-27-27,14-27-27.5,11.414,12.201,0,0,-0.065,-0.008,-0.008,0,0,0,22.248,11.215,24.004,0,0,0,0,-16.519,11.32,27.258,0,0,0,0,14.969,11.215,21.516,0,0,0,0,-20.111,11.461,22.09,0,0,0,0,11.531,24.961,1,1,0,0,0,2,0,1908.467,-377.14,0.008,90.895,0,0,20809,0.1,125.194,1,??,
2014-Mar-28_14-27-27,14-27-27.6,11.423,13.303,0.003,-0.005,-0.031,-0.008,-0.008,0,0,0,22.255,11.25,23.813,0,0,0,0,-16.522,11.355,27.641,0,0,0,0,14.972,11.215,22.09,0,0,0,0,-20.117,11.461,22.09,0,0,0,0,11.496,25.727,1,1,0,0,0,2,0,1911.142,-377.187,0.008,89.982,0,0,20810,0.1,125.333,1,%???,
