2014-Jun-28_09-29-40,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,,
2014-Jun-28_10-10-00,10-10-00.7,0,12.632,6.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,565.124,-599.275,109.403,0,0,16295,5,0.062,1,??,
2014-Jun-28_10-10-00,10-10-00.8,0,12.675,3.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,0.165,-0.164,0.165,0,0,0,1,1,566.173,-599.717,109.403,0,0,16305,5,0.263,1,????,
2014-Jun-28_10-10-00,10-10-00.9,0,12.563,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,0.266,-0.26,0.266,0,0,0,1,1,563.025,-599.942,109.403,0,0,16310,5,0.363,1,?`z?,
2014-Jun-28_10-10-01,10-10-01.0,0,12.347,4.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.356,0.354,-0.356,0.354,0,0,0,1,1,564.075,-600.167,109.631,0,0,16315,5,0.464,1,?<,
2014-Jun-28_10-10-01,10-10-01.1,0,12.235,7.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466,0.456,-0.466,0.456,0,0,0,1,1,563.025,-600.392,109.403,0,0,16320,5,0.563,1,?*2,
2014-Jun-28_10-10-01,10-10-01.2,0,12.045,24.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.562,0.557,-0.562,0.557,0,0,0,1,1,559.878,-600.615,109.631,0,0,16325,5,0.663,1,Ko?0,
2014-Jun-28_10-10-01,10-10-01.3,0,11.932,12.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.658,0.658,-0.658,0.658,0,0,0,1,1,552.534,-600.834,109.517,0,0,16330,5,0.763,1,? ,
2014-Jun-28_10-10-01,10-10-01.4,0,11.855,19.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.753,0.759,-0.753,0.759,0,0,0,1,1,546.239,-601.059,109.403,0,0,16335,5,0.865,1,c&??,
2014-Jun-28_10-10-01,10-10-01.5,0,11.742,32.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.863,0.861,-0.863,0.861,0,0,0,1,1,538.894,-601.279,109.631,0,0,16340,5,0.964,1,?ix?,
2014-Jun-28_10-10-01,10-10-01.6,0,11.63,44.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.959,0.962,-0.959,0.962,0,0,0,1,1,529.452,-601.504,109.403,0,0,16345,5,1.064,1,GT??,
2014-Jun-28_10-10-01,10-10-01.7,0,11.716,41.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,515.813,-601.726,109.631,0,0,16350,5,1.164,1,???4,
2014-Jun-28_10-10-01,10-10-01.9,0,11.993,27.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,487.485,-602.175,109.631,0,0,16360,5,1.363,1,??,
