2014-Jun-28_09-29-40,Time Stamp,,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Jun-28_10-36-23,10-36-23.2,0,12.502,1.921,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,557.78,-156.382,109.403,0,0,7275,5,0.002,1,J@o,
2014-Jun-28_10-36-23,10-36-23.4,0,12.373,2.656,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205,0.203,-0.205,0.203,0,0,0,1,1,556.73,-156.854,109.517,0,0,7290,5,0.302,1,l?$,
2014-Jun-28_10-36-23,10-36-23.5,0,12.261,7.796,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,0.304,-0.301,0.304,0,0,0,1,1,558.829,-157.01,109.631,0,0,7295,5,0.402,1,:}\?,
2014-Jun-28_10-36-23,10-36-23.6,0,12.261,7.796,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,0.304,-0.301,0.304,0,0,0,1,1,558.829,-157.01,109.631,0,0,7295,5,0.402,1,-??,
2014-Jun-28_10-36-23,10-36-23.7,0,11.958,6.327,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.397,0.405,-0.397,0.405,0,0,0,1,1,556.73,-157.167,109.517,0,0,7300,5,0.502,1,}??5,
2014-Jun-28_10-36-23,10-36-23.8,0,11.777,10.366,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.603,0.595,-0.603,0.595,0,0,0,1,1,549.386,-157.491,109.517,0,0,7310,5,0.702,1,Le,
2014-Jun-28_10-36-23,10-36-23.9,0,11.613,15.139,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.699,0.696,-0.699,0.696,0,0,0,1,1,630.173,-157.655,109.517,0,0,7315,5,0.803,1,?z<?,
2014-Jun-28_10-36-24,10-36-24.0,0,11.526,43.776,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.795,0.797,-0.795,0.797,0,0,0,1,1,746.631,-157.819,109.517,0,0,7320,5,0.904,1,q?HF,
2014-Jun-28_10-36-24,10-36-24.1,0,11.414,44.143,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.904,0.899,-0.904,0.899,0,0,0,1,1,532.599,-157.979,109.517,0,0,7325,5,1.003,1,??R?,
2014-Jun-28_10-36-24,10-36-24.3,0,11.371,45.979,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,515.813,-158.139,109.517,0,0,7330,5,1.103,1,??0&,
2014-Jun-28_10-36-24,10-36-24.4,0,11.535,36.066,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,504.272,-158.301,109.289,0,0,7335,5,1.202,1,???G,
2014-Jun-28_10-36-24,10-36-24.5,0,11.665,30.192,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,489.583,-158.462,109.403,0,0,7340,5,1.303,1,??;f,
2014-Jun-28_10-36-24,10-36-24.6,0,11.751,24.684,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,474.895,-158.621,109.517,0,0,7345,5,1.406,1,???,
2014-Jun-28_10-36-24,10-36-24.7,0,11.82,23.583,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,459.157,-158.78,109.403,0,0,7350,5,1.502,1,y?,~
2014-Jun-28_10-36-24,10-36-24.8,0,11.829,22.849,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,444.469,-158.942,109.403,0,0,7355,5,1.602,1,r?,
2014-Jun-28_10-36-24,10-36-24.9,0,11.863,19.911,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,427.682,-159.1,109.403,0,0,7360,5,1.703,1,??yF,
2014-Jun-28_10-36-25,10-36-25.0,0,11.898,19.177,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,411.944,-159.264,109.517,0,0,7365,5,1.802,1,?]?,
2014-Jun-28_10-36-25,10-36-25.1,0,11.889,19.544,-0.002,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,1,395.157,-159.423,109.517,0,0,7370,5,1.903,1,???,
